IDs         length   Exptl.  resolution  R-factor FreeRvalue
5TFQA       280      XRAY        1.070    0.12    0.13
3EDFA       601      XRAY        1.650    0.17    0.20
3KOPA       188      XRAY        1.900    0.16    0.20
3V69A       140      XRAY        2.200    0.23    0.27
6B8WA        95      XRAY        1.900    0.18    0.22
1PG6A       243      XRAY        1.700    0.21    0.24
2FZPA       144      XRAY        1.870    0.17    0.23
4CKMA       180      XRAY        2.150    0.21    0.24
5LJPA       169      XRAY        1.100    0.16    0.18
2YVQA       143      XRAY        1.980    0.23    0.28
3DFGA       162      XRAY        1.500    0.20    0.23
5VGCA       214      XRAY        2.600    0.25    0.30
1Y0NA        78      XRAY        2.000    0.25    0.29
6CB2A       293      XRAY        2.000    0.22    0.25
2GQTA       268      XRAY        1.300    0.19    0.21
5ZIBA       626      XRAY        1.900    0.19    0.22
4XB6A       150      XRAY        1.700    0.15    0.18
5NFIB       281      XRAY        2.510    0.20    0.26
6FMBA        98      XRAY        1.300    0.14    0.18
3T5XA       203      XRAY        2.120    0.21    0.23
5V8SA       410      XRAY        1.410    0.15    0.18
3TDQA        98      XRAY        2.100    0.19    0.21
1W1HA       151      XRAY        1.450    0.16    0.21
1GTTA       429      XRAY        1.700    0.22    0.25
2ZGYA       320      XRAY        1.900    0.22    0.26
2HC8A       113      XRAY        1.650    0.20    0.23
4IW7A       399      XRAY        2.250    0.19    0.24
2OFYA        86      XRAY        1.700    0.20    0.24
3MAZA       125      XRAY        1.900    0.23    0.24
2DHDA       310      XRAY        2.130    0.19    1.00
5JRTA        77      XRAY        1.530    0.20    0.23
4OMBA       347      XRAY        1.500    0.19    0.22
1TG7A       971      XRAY        1.900    0.17    0.18
3MQ0A       275      XRAY        1.790    0.19    0.22
5J90A       508      XRAY        1.390    0.15    0.17
5V13A       288      XRAY        1.840    0.17    0.20
2IAZA       113      XRAY        2.400    0.23    0.29
2OKFA       140      XRAY        1.600    0.14    0.15
2HR2A       159      XRAY        2.540    0.20    0.23
5BX1A       157      XRAY        1.900    0.20    0.24
4JHMA       384      XRAY        2.800    0.20    0.25
3KORA       119      XRAY        1.600    0.19    0.22
4GIMA       335      XRAY        1.800    0.18    0.21
2RD9A       193      XRAY        2.300    0.15    0.20
4RKHC        52      XRAY        2.000    0.20    0.25
3TVJA        86      XRAY        1.280    0.16    0.20
1M0DA       138      XRAY        1.900    0.21    0.23
1UEBA       184      XRAY        1.650    0.21    0.24
4F98A        69      XRAY        1.260    0.14    0.17
3K0YA       229      XRAY        2.160    0.20    0.23
2JFRA       234      XRAY        0.830    0.10    0.12
4W78A       178      XRAY        1.540    0.18    0.20
1OZ9A       150      XRAY        1.890    0.21    0.23
1PUJA       282      XRAY        2.000    0.22    0.25
4NCDA       246      XRAY        2.040    0.22    0.26
2DWUA       276      XRAY        1.600    0.16    0.19
5M48A       115      XRAY        2.590    0.25    0.26
3GFFA       331      XRAY        2.120    0.19    0.24
4RSCA       533      XRAY        1.800    0.17    0.20
3RMHA       149      XRAY        1.900    0.21    0.24
5VITA       554      XRAY        2.200    0.19    0.23
6DCRA       694      XRAY        1.980    0.19    0.21
3NZMA       168      XRAY        1.550    0.22    0.26
1J3WA       163      XRAY        1.500    0.21    0.22
4PQGA       511      XRAY        2.000    0.20    0.25
3E98A       252      XRAY        2.430    0.21    0.27
4C92B       105      XRAY        2.300    0.21    0.26
5ULMA       393      XRAY        2.100    0.23    0.27
2GMYA       153      XRAY        1.600    0.17    0.19
4G22A       439      XRAY        1.700    0.17    0.20
3Q6KA       381      XRAY        2.520    0.22    0.27
1SEDA       117      XRAY        2.100    0.19    0.21
3GJ0A       221      XRAY        1.480    0.18    0.20
1GK6A        59      XRAY        1.900    0.20    0.23
3GMED        41      XRAY        2.400    0.29    0.30
3OOYA       616      XRAY        2.050    0.20    0.23
5BOVA       304      XRAY        1.600    0.15    0.17
1RKUA       206      XRAY        1.470    0.19    0.22
2IH2A       421      XRAY        1.610    0.16    0.20
2E11A       266      XRAY        1.730    0.19    0.22
3OISA       291      XRAY        1.650    0.17    0.22
5A4AA       208      XRAY        1.700    0.17    0.20
3BWSA       433      XRAY        1.990    0.19    0.24
3CCFA       279      XRAY        1.900    0.18    0.22
1DJ8A        89      XRAY        2.000    0.21    0.26
5N6FA       375      XRAY        1.120    0.14    0.15
4G2EA       157      XRAY        1.400    0.12    0.15
4YTOA       148      XRAY        2.000    0.23    0.26
2G0CA        76      XRAY        1.700    0.25    0.28
5IP4D        91      XRAY        1.810    0.20    0.25
2RJBA       455      XRAY        2.600    0.23    0.28
3DTEA       301      XRAY        2.600    0.22    0.25
5NGGA       294      XRAY        1.180    0.12    0.15
5BP3A       305      XRAY        1.450    0.15    0.18
2ZY4A       546      XRAY        2.000    0.16    0.20
1XO5A       183      XRAY        1.990    0.21    0.26
3A9SA       595      XRAY        1.600    0.17    0.19
2NNUA       205      XRAY        1.590    0.20    0.23
5UDIA       479      XRAY        1.580    0.16    0.18
4HEOA        64      XRAY        1.650    0.19    0.22
1POIB       260      XRAY        2.500    0.19    1.00
2VLIA       183      XRAY        1.950    0.18    0.21
5CRBA       193      XRAY        2.000    0.20    0.26
3HHWA        87      XRAY        2.700    0.26    0.30
1R8GA       372      XRAY        2.150    0.19    0.25
2QKPA       151      XRAY        1.750    0.20    0.24
5V8DA       364      XRAY        2.000    0.22    0.27
1MPGA       282      XRAY        1.800    0.19    0.25
1MIJA       152      XRAY        2.050    0.22    0.26
1V9YA       167      XRAY        1.320    0.16    0.22
3GRAA       202      XRAY        2.300    0.27    0.29
4P5PA       225      XRAY        1.540    0.15    0.19
1LJ8A       493      XRAY        1.700    0.17    0.20
2J3TD       219      XRAY        2.400    0.21    0.25
4AO6A       259      XRAY        1.600    0.19    0.22
4Y0BA       184      XRAY        2.400    0.21    0.25
5WQVA       104      XRAY        1.970    0.23    0.28
4A2BA       419      XRAY        1.800    0.18    0.22
3PNRB       187      XRAY        2.600    0.18    0.23
4QRLA       116      XRAY        1.790    0.17    0.22
6B9XC       124      XRAY        1.420    0.21    0.24
1X9ZA       188      XRAY        2.100    0.24    0.28
1P3Y1       194      XRAY        2.540    0.22    0.26
4LD3B        60      XRAY        2.440    0.20    0.21
3WECA       419      XRAY        2.190    0.22    0.26
5HGJA       195      XRAY        1.400    0.18    0.20
2Y3MA       175      XRAY        2.300    0.21    0.24
5BOWA       151      XRAY        1.310    0.14    0.16
6DRUA       718      XRAY        2.700    0.18    0.21
4M7TA       270      XRAY        1.560    0.17    0.18
4LV5A       371      XRAY        1.700    0.19    0.23
4ZKDA       499      XRAY        2.180    0.22    0.25
5GUDA       471      XRAY        1.680    0.19    0.23
2JLNA       501      XRAY        2.850    0.24    0.28
3DDCB       163      XRAY        1.800    0.20    0.23
3SBMA       281      XRAY        1.350    0.16    0.17
2VDFA       253      XRAY        1.950    0.23    0.27
3H9MA       436      XRAY        1.570    0.17    0.19
4KQ9A       299      XRAY        1.900    0.20    0.23
5X40A       292      XRAY        1.450    0.16    0.18
3KDEC        77      XRAY        1.740    0.18    0.22
4V24A       371      XRAY        1.800    0.18    0.21
3EN8A       128      XRAY        1.850    0.19    0.23
2AQ6A       147      XRAY        1.700    0.19    0.19
3ORYA       363      XRAY        2.000    0.21    0.23
5U7WA       426      XRAY        1.760    0.18    0.22
4IAJA        78      XRAY        1.910    0.18    0.23
1QZMA        94      XRAY        1.900    0.18    0.28
5AFOA       362      XRAY        1.820    0.17    0.20
1GK9A       260      XRAY        1.300    0.15    0.17
3H7AA       252      XRAY        1.870    0.21    0.24
4TQXA       206      XRAY        1.370    0.15    0.18
2O14A       375      XRAY        2.100    0.19    0.20
3GY9A       150      XRAY        1.520    0.16    0.18
3L2BA       245      XRAY        2.270    0.21    0.26
5YQJA       187      XRAY        1.500    0.16    0.21
3LDCA        82      XRAY        1.450    0.19    0.20
5TCKA       157      XRAY        1.950    0.20    0.24
2AL6A       375      XRAY        2.350    0.22    0.25
4K1CA       421      XRAY        2.300    0.20    0.23
3D7RA       326      XRAY        2.010    0.16    0.19
5G23A       236      XRAY        1.850    0.18    0.21
2EQ5A       228      XRAY        2.200    0.16    0.22
3RWXA       261      XRAY        2.400    0.20    0.24
3BCZA       293      XRAY        2.100    0.18    0.23
4W4KB       174      XRAY        1.950    0.22    0.26
3D0WA       104      XRAY        2.000    0.22    0.24
4Z8WA       131      XRAY        1.980    0.22    0.25
4KRDB       207      XRAY        1.950    0.20    0.24
5AMBA       629      XRAY        1.550    0.16    0.18
1ETEA       134      XRAY        2.200    0.24    0.29
2PMYA        91      XRAY        2.300    0.23    0.26
4FBWA       417      XRAY        2.200    0.23    0.24
3GG7A       254      XRAY        1.500    0.18    0.20
4EMNA        81      XRAY        1.170    0.15    0.19
5A1QA        71      XRAY        1.600    0.18    0.22
3NKHA       244      XRAY        2.500    0.16    0.19
5OJYA       254      XRAY        1.850    0.18    0.20
3M31A       388      XRAY        1.850    0.21    0.24
6A0NA       343      XRAY        2.100    0.20    0.23
2R1JL        68      XRAY        1.530    0.20    0.23
6AMGA       196      XRAY        1.450    0.14    0.16
4LLDB       129      XRAY        1.190    0.18    0.17
3OIYA       414      XRAY        2.350    0.21    0.25
6FJYB       312      XRAY        2.310    0.22    0.27
3IG3A       627      XRAY        1.990    0.19    0.22
5BPZA       169      XRAY        2.180    0.21    0.23
1R8IA       213      XRAY        3.000    0.26    0.29
2WTGA       159      XRAY        1.500    0.17    0.20
3WJTA       178      XRAY        1.550    0.21    0.24
3ZN6A       291      XRAY        1.530    0.17    0.20
3PM2A       173      XRAY        1.800    0.19    0.23
5WGBB        91      XRAY        2.750    0.22    0.26
3ULBA       121      XRAY        1.900    0.22    0.27
5UX1A       237      XRAY        1.500    0.19    0.21
3WE2A       147      XRAY        2.700    0.24    0.27
4ID9A       347      XRAY        1.600    0.18    0.21
3FDXA       143      XRAY        1.580    0.19    0.21
5VG3A       382      XRAY        1.450    0.15    0.18
3OOXA       312      XRAY        1.440    0.17    0.20
3G9HA       328      XRAY        2.800    0.26    0.28
2QJFA       405      XRAY        2.200    0.17    0.23
4MGQA       168      XRAY        1.680    0.18    0.21
2GD5A       179      XRAY        2.800    0.26    0.30
4F0DA       277      XRAY        2.700    0.25    0.29
4MP0B        44      XRAY        2.100    0.17    0.20
3EWGA        91      XRAY        2.040    0.20    0.23
4PMXA       306      XRAY        1.300    0.13    0.17
5LY9A       368      XRAY        1.650    0.17    0.20
2PP6A       102      XRAY        2.700    0.22    0.28
3S5JA       326      XRAY        2.020    0.22    0.26
5JKQA       284      XRAY        2.350    0.21    0.26
1JMUA        41      XRAY        2.800    0.22    0.24
5APGA       185      XRAY        1.600    0.19    0.20
4MF5A       256      XRAY        1.110    0.11    0.13
4HRSA        67      XRAY        2.300    0.26    0.25
1G6XA        58      XRAY        0.860    0.11    0.14
3FZEA       196      XRAY        1.600    0.21    0.24
1Q8DA       108      XRAY        1.800    0.19    0.21
3PYWA       203      XRAY        1.800    0.17    0.19
4AE2A       256      XRAY        1.680    0.16    0.21
4LX2A       392      XRAY        1.500    0.17    0.20
4P7IC        67      XRAY        2.600    0.23    0.26
5MSMB       133      XRAY        2.290    0.20    0.26
5L3XB       405      XRAY        2.750    0.24    0.26
5CWWB       595      XRAY        2.200    0.19    0.21
3LUYA       329      XRAY        2.000    0.19    0.23
4ESKA       102      XRAY        1.760    0.18    0.22
2BDRA       175      XRAY        1.600    0.20    0.22
5J98B       261      XRAY        2.600    0.28    1.00
4LGJA       271      XRAY        1.550    0.17    0.19
2X3JA       620      XRAY        2.000    0.19    0.23
6G96A       176      XRAY        1.480    0.21    0.23
2RCCA       346      XRAY        1.900    0.18    0.21
5X2EA        80      XRAY        1.300    0.18    0.22
3TYSA        88      XRAY        1.120    0.14    0.16
2QRUA       274      XRAY        1.650    0.17    0.20
4LPSA       242      XRAY        2.000    0.17    0.20
3RPEA       218      XRAY        1.100    0.10    0.12
2YY3A        91      XRAY        2.500    0.24    0.28
1U2HA        99      XRAY        0.960    0.16    0.17
3LYPA       215      XRAY        1.600    0.18    0.21
4I2AA       400      XRAY        1.900    0.18    0.22
4DJAA       518      XRAY        1.450    0.14    0.18
2SAKA       121      XRAY        1.800    0.18    0.24
2ASBA       251      XRAY        1.500    0.19    0.22
4JBDA       330      XRAY        1.300    0.16    0.18
1ZX8A       136      XRAY        1.900    0.17    0.21
2OMKA       231      XRAY        1.800    0.17    0.20
3LSJA       220      XRAY        2.300    0.23    0.28
6CY6A       186      XRAY        1.750    0.16    0.20
4OLSA       242      XRAY        2.270    0.16    0.16
3DTYA       398      XRAY        2.040    0.19    0.22
4L4EA       415      XRAY        1.260    0.19    0.21
1VCCA        77      XRAY        1.600    0.22    0.29
3QVLA       245      XRAY        1.820    0.21    0.22
3BJOA       103      XRAY        2.050    0.20    0.22
2RINA       298      XRAY        1.800    0.15    0.21
3KWRA        97      XRAY        1.450    0.16    0.18
3FGAD        47      XRAY        2.700    0.23    0.28
3I10A       278      XRAY        1.350    0.15    0.17
